"ID","X","Y","ph_0-30","MaxDepth"
"IGAC-VAC-C-86",-75.9024135855339,4.2834329707649,5.5994846289689,180
"IGAC-VAC-C-88",-76.0378819552888,4.23551061714071,5.75805569716931,150
"IGAC-VAC-C-90",-76.0866593522239,3.86879913958579,6.43694181043629,130
"IGAC-VAC-C-91",-76.0866565137307,3.87122237190984,6.01837377132796,105
"IGAC-VAC-C-95",-76.1263026073855,3.87119601572845,5.09367625600985,160
"IGAC-VAC-C-96",-76.0969725864212,3.87939943098593,5.42981108326679,150
"IGAC-VAC-C-98",-76.1887437753285,3.74922173346521,5.36243093922652,35
"IGAC-VAC-C-99",-75.8744015098068,4.10986056351116,5.74344548043908,150
"IGAC-VAC-CC-86",-76.435496053,3.6326234487,8.03625252016129,50
"IGAC-VAC-CC01",-76.303006251,4.0928238934,6.47122545241499,160
"IGAC-VAC-CC02",-76.306762193,4.0937556986,6.5066917593984,140
"IGAC-VAC-CC03",-76.302083233,4.0906576423,5.50826086541451,100
"IGAC-VAC-CC04",-76.255923741,4.1608786521,6.6056792411839,135
"IGAC-VAC-CC05",-76.271442501,4.0925378019,7.39158751152757,160
"IGAC-VAC-CC06",-76.213661035,4.077273601,6.5407468380001,150
"IGAC-VAC-CC07",-76.269478188,4.1022394082,7.71077064192554,140
"IGAC-VAC-CC08",-76.374872238,3.8398605015,5.44219727306309,150
"IGAC-VAC-CC09",-76.22376586,4.0861827309,6.44563902460437,150
"IGAC-VAC-CC10",-76.207108264,4.0758856175,6.72100727387729,60
"IGAC-VAC-CC102",-76.45313404,3.3704868391,6.1968138729125,140
"IGAC-VAC-CC103",-76.257853653,3.6308554737,6.80576145489285,110
"IGAC-VAC-CC11",-76.255909295,4.0931518314,7.31435794851209,135
"IGAC-VAC-CC12",-76.258698582,4.0955477358,7.08107171156894,125
"IGAC-VAC-CC13",-76.244733026,4.1445362379,6.80525794970296,139
"IGAC-VAC-CC14",-76.232097096,4.1255854874,8.39461500171807,160
"IGAC-VAC-CC15",-76.208321965,4.1584289825,7.33003943603667,160
"IGAC-VAC-CC16",-76.219848315,4.1077205352,7.04811396848652,150
"IGAC-VAC-CC161",-76.395530233,3.7520151922,8.15772027547422,105
